,Name,Tweet
118,Hillary Clinton,We're utterly failing kids as a society when we build schools to accommodate shooters rather than students.
119,Hillary Clinton,"If you appreciate 40-hour work weeks, safe working conditions, higher wages, weekends, and a day off today—thank th…"
120,Hillary Clinton,"Stay safe, Florida. If you haven't already, make sure to check off these emergency preparedness steps:"
121,Hillary Clinton,Republican officials across the country have used gerrymandering to choose their voters rather than letting voters…
122,Hillary Clinton,This is a great way to help fight the fires in the Amazon. One hundred percent of donations go to partners working…
123,Hillary Clinton,The passage of the 19th Amendment was just the first step on the road to ensure all American women can exercise the…
124,Hillary Clinton,"Meet 55 amazing candidates @runforsomething has endorsed this month, including an activist who helped remove Confed…"
125,Hillary Clinton,We should not nuke hurricanes.
126,Hillary Clinton,Adele's grandfather built her family's home after he returned to St. John from World War II—and she won't give up o…
127,Hillary Clinton,"In the last 24 hours, the administration has announced:- They will seek the power to detain migrant children inde…"
128,Hillary Clinton,"@lizzo ""I just took a DNA test, turns out..."""
129,Hillary Clinton,The debunked study you’re referring to was based on 21 undecided voters. For context that’s about half the number o…
130,Hillary Clinton,What democracy and peaceful protest look like: 1.7 million people marching yesterday in Hong Kong's Victoria Park.
131,Hillary Clinton,"Happy birthday, @BillClinton! You can sign his card here: https://t.co/rZMJYRQyte"
132,Hillary Clinton,"Asked why she persisted in the fight for women’s suffrage, ratified August 18, 1920, Alice Paul said: “When you p…"
133,Hillary Clinton,Russia’s interference in our elections will continue to threaten our democracy until Republicans join Democrats to…
134,Hillary Clinton,"It should be a given in America that every citizen has free and fair access to the ballot box. Right now, it simply…"
135,Hillary Clinton,"May we all stand in solidarity with the people of Hong Kong as they speak out for democracy, freedom from repressio…"
136,Hillary Clinton,"Two years ago in Charlottesville, a neo-Nazi drove a car into a crowd of people protesting white supremacy and kill…"
137,Hillary Clinton,"If you're heartsick over the images and videos of children in Mississippi whose parents were taken away by ICE, pit…"
138,Hillary Clinton,"Heading into next year’s elections, every voter must reckon with what their vote supports. At the border and arou…"
139,Hillary Clinton,The honor is ours; it’s not every day you meet a queen. 👑
140,Hillary Clinton,"""If there is a book that you want to read but it hasn't been written yet, you must be the one to write it,"" Toni Mo…"
141,Hillary Clinton,".@ChelseaClinton and I are thrilled to announce ""The Book of Gutsy Women,"" out October 1st. It's a conversation abo…"
142,Hillary Clinton,People suffer from mental illness in every other country on earth; people play video games in virtually every other…
143,Hillary Clinton,"With two mass shootings in America in less than 24 hours, thoughts and prayers are not enough. We need action. Th…"
144,Hillary Clinton,A massive heat wave has caused the Greenland ice sheet to melt at rates not projected until 2070. We are in a cli…
145,Hillary Clinton,Outrageous: More than 900 children have been separated at the border from their parents since a judge ordered the a…
146,Hillary Clinton,"A lovely tribute that captures what made Betsy Ebeling, my dear friend, so special to so many of us. She was our no…"
