,Name,Tweet
156,Donald Trump,Republicans have never been more unified than they are right now! The Dems are a mess under the corrupt leadership…
157,Donald Trump,.....with a President and Federal Government that wants our wonerful City and State to flourish and thrive. I Love New York!
158,Donald Trump,"....our great police are being disrespected, even with water dumped on them, because a Mayor and Governor just don’…"
159,Donald Trump,"....in New York, and another reason they are leaving. Taxes and energy costs are way too high, Upstate is being all…"
160,Donald Trump,"I love New York, but New York can never be great again under the current leadership of Governor Andrew Cuomo (the b…"
161,Donald Trump,Stock Market up BIG! Record highs for S&amp;P 500 and NASDAQ. Enjoy!
162,Donald Trump,....Our Republican candidate @EddieRispone is a successful conservative businessman who will stand with me to creat…
163,Donald Trump,LOUISIANA! Extreme Democrat John Bel Edwards has sided with Nancy Pelosi and Chuck Schumer to support Sanctuary Cit…
164,Donald Trump,....@FoxNews @BillHemmer The public is watching and seeing for themselves how unfair this process is. Corrupt pol…
165,Donald Trump,"“Adam Schiff has taken all of the power for himself. That is very unfair. There were dozens of people on this call,…"
166,Donald Trump,ISIS has a new leader. We know exactly who he is!
167,Donald Trump,“The Democrats need more than this.” @tombrokaw  Much more!
168,Donald Trump,“The Democrats are so immersed in this (SCAM). They couldn’t care less about the American people!” @RushLimbaughEIB
169,Donald Trump,"Wow, a blowout JOBS number just out, adjusted for revisions and the General Motors strike, 303,000. This is far gre…"
170,Donald Trump,Chicago will never stop its crime wave with the current Superintendent of Police. It just won’t happen! Thank you t…
171,Donald Trump,"“This is the biggest, most disgusting scandal, and it’s all on the Democrat Party that has highjacked the Impeachm…"
172,Donald Trump,“It has been 3 years and Donald Trump hasn’t done anything wrong. Donald Trump hasn’t done a single thing of which…
173,Donald Trump,Thanks Lee!
174,Donald Trump,But the Crooked Democrats don’t want people to know this! Thank you to Tim Morrison for your honesty.
175,Donald Trump,A great place!
176,Donald Trump,Thank you!
177,Donald Trump,"....this decision, but in the end it will be best for all concerned. As President, I will always be there to help N…"
178,Donald Trump,"....New York, and always will, but unfortunately, despite the fact that I pay millions of dollars in city, state an…"
179,Donald Trump,"1600 Pennsylvania Avenue, the White House, is the place I have come to love and will stay for, hopefully, another 5…"
180,Donald Trump,The home of Nancy Pelosi. I can’t believe her voters can be happy with the job she and the Do Nothing Democrats are…
181,Donald Trump,"While the Do Nothing Democrats FAIL the American People, and continue the Impeachment Scam, my Administration will…"
182,Donald Trump,The Greatest Witch Hunt In American History!
183,Donald Trump,The Impeachment Hoax is hurting our Stock Market. The Do Nothing Democrats don’t care!
184,Donald Trump,"....our manufacturers. We should have lower interest rates than Germany, Japan and all others. We are now, by far,…"
185,Donald Trump,"People are VERY disappointed in Jay Powell and the Federal Reserve. The Fed has called it wrong from the beginning,…"
186,Donald Trump,READ THE TRANSCRIPT!
187,Donald Trump,"China and the USA are working on selecting a new site for signing of Phase One of Trade Agreement, about 60% of tot…"
188,Donald Trump,"Congratulations to @FoxNews, you left @CNN &amp; @MSNBC in the dust (that’s because the don’t tell the truth!)."
189,Donald Trump,Thank you Matt.
190,Donald Trump,".....to any President, of either party, again. Laura @IngrahamAngle"
191,Donald Trump,"...never be allowed to roll into a winter showtrial. Indeed, allowing a long, drawn out trial in the Senate would m…"
192,Donald Trump,".....the Dems have selectively leaked. Nor was there any corrupt intent on the part of the President. Remember, the…"
193,Donald Trump,“Now is the time for Republicans to stand together and defend the leader of their party against these smears. It wo…
194,Donald Trump,Congratulations to the Washington Nationals on a great season and an incredible World Series. Game 7 was amazing! @Nationals
195,Donald Trump,"Thank you Daily Wire. Very cute recreation, but the “live” version of Conan will be leaving the Middle East for the…"
196,Donald Trump,The Do Nothing Democrats have gone Crazy. Very bad for USA!
197,Donald Trump,
198,Donald Trump,"""The Democrats have been on this path for 3 years. The first headline I saw...before the President was sworn in was…"
199,Donald Trump,Thank you @GLFOP!
200,Donald Trump,"“Adam Schiff’s drive to impeach Trump based on opinions, deception and illusions – Not facts” @GreggJarrett"
201,Donald Trump,We will be having a big rally for Governor @MattBevin on Monday night in Kentucky. Get your tickets today!
202,Donald Trump,"....Your current Governor, John Bel Edwards, has done a poor job with economic development (last in nation) and aut…"
203,Donald Trump,"Early voting in Louisiana for a man who will be a Great Governor, @EddieRispone, on Saturday, November 2nd. He will…"
204,Donald Trump,AMERICAN HERO!
205,Donald Trump,"Thank you @GM, @FiatChrysler_NA, @Toyota, and @GloblAutomkrs for standing with us for Better, Cheaper, Safer Cars f…"
206,Donald Trump,"...our Military, 2nd Amendment, Energy, and so many other things that the Democrats don’t care about. Please stop t…"
207,Donald Trump,"My friend Mike @GovDunleavy of the Great State of Alaska, is being treated very unfairly by the Democrats because h…"
208,Donald Trump,....the United States Military. Congress needs to do its work. We need to fund our Armed Forces.” @senatemajldr Mi…
209,Donald Trump,“Our Country cannot afford for the Democrats in Congress to take a one year vacation from any productive legislatio…
210,Donald Trump,"“Precisely the same program that the Democrats are trying to Impeach President Trump for supposedly slow walking,…"
211,Donald Trump,Yesterday’s Never Trumper witness could find NO Quid Pro Quo in the Transcript of the phone call. There were many p…
212,Donald Trump,A Federal Judge is allowing the Nick Sandman libel suit to move forward against the thoroughly disgusting Washingto…
213,Donald Trump,“It does appear it has to do with Nancy Pelosi retaining her Speakership in the next Congress. She would like that…
214,Donald Trump,The Greatest Economy in American History!
215,Donald Trump,".....the call with the Ukrainian President was a totally appropriate one. As he said, “No Pressure.” This Impeachme…"
216,Donald Trump,"Republicans are very unified and energized in our fight on the Impeachment Hoax with the Do Nothing Democrats, and…"
217,Donald Trump,Nervous Nancy Pelosi is doing everything possible to destroy the Republican Party. Our Polls show that it is going…
218,Donald Trump,“Over in Europe and Japan they have NEGATIVE RATES. They get paid to borrow money. Don’t we have to follow our comp…
219,Donald Trump,Consumer Confidence number very good. Housing sales in September up nicely. Economy Rocks!
220,Donald Trump,"A great new book just out, “The Plot Against the President. The True Story Of How Congressman Devin Nunez Uncovered…"
221,Donald Trump,Just confirmed that Abu Bakr al-Baghdadi’s number one replacement has been terminated by American troops. Most like…
222,Donald Trump,"95% Approval Rating in the Republican Party, a record. Thank you!"
223,Donald Trump,"Supposedly, according to the Corrupt Media, the Ukraine call “concerned” today’s Never Trumper witness. Was he on t…"
