,Name,Tweet
136,Alexandria Cortez,It’s wrong. It’s harmful. And his bigotry is reflective of the white supremacist base he relies on for political gain.
137,Alexandria Cortez,"Understand that Trump is engaged in deliberate, atrocious, targeted antisemitism towards Chairman Schiff. Then as…"
138,Alexandria Cortez,"To clarify on that ratio:Annually, we spend about $17,500 per child on education; and ~$250k-300k per person we i…"
139,Alexandria Cortez,Hey Suzie! Thanks for your question.Comptroller reported this yr that “the city’s annual cost per inmate balloone…
140,Alexandria Cortez,"With respect to the betrayal of our country, it doesn’t matter much how these aides felt.History will judge them…"
141,Alexandria Cortez,😂😂😂
142,Alexandria Cortez,Nobody reacted to this lady because this is New York City and Trump plants are amateurs compared to what we deal wi…
143,Alexandria Cortez,"Well, that’s that on that.No wonder Pompeo tried to block release of these records. It documents it all right her…"
144,Alexandria Cortez,Turns out the woman yelling was a Trump supporter 🤷🏽‍♀️Doesn’t rule out potential mental issue (Drs do that) but…
145,Alexandria Cortez,Better than being a criminal who betrays our country.
146,Alexandria Cortez,In the words of @AyannaPressley: #ChangeCantWait!
147,Alexandria Cortez,"@MikeSchlossberg Haha, sorry to expose you to all that! RT’s have their upsides and downsides. I’m quite alright th…"
148,Alexandria Cortez,Want to check out tonight’s town hall?Check it out here! ⬇️📺
149,Alexandria Cortez,This person may have been suffering from a mental condition and it’s not okay that the right-wing is mocking her an…
150,Alexandria Cortez,"Yes, I prepare powerpoints for my constituents at town halls 🤓"
151,Alexandria Cortez,Hey everyone!We had a fabulous town hall tonight &amp; I’ll be highlighting some moments from it.At one point I was…
152,Alexandria Cortez,@kimmaicutler @DavidChiu Kudos!
153,Alexandria Cortez,"Our monthly town hall is tonight! We’re answering questions, &amp; updating everyone on our Just Society suite of bil…"
154,Alexandria Cortez,Wow. Congratulations to the California grassroots for this enormous victory. Kudos to @GavinNewsom for signing this…
155,Alexandria Cortez,So apparently at Fox News you can parrot a wide range of conspiracy theories &amp; falsely claim white supremacy is a “…
156,Alexandria Cortez,@Castro4Congress @nbcsnl 🤣 you’ll have to shave the beard hermano!
157,Alexandria Cortez,"You’re in, @FullFrontalSamB! 😉#TheSquadIsBig"
158,Alexandria Cortez,Sending lots of love and solidarity to @BernieSanders today as he rests and recovers.A lot of people don’t unders…
159,Alexandria Cortez,"Thank YOU!Inspired by your diligent, committed, hard-working &amp; tenacious students.What a humbling video &amp; thank…"
160,Alexandria Cortez,"As dire as things can be, it’s important to show how mass mobilization is still winning in very big ways through pu…"
161,Alexandria Cortez,“Billionaires should not exist” does not mean certain people should not exist.It means no person should have a bi…
162,Alexandria Cortez,The cruelty has always been the point.
163,Alexandria Cortez,@NY1weather Well dang
164,Alexandria Cortez,"Zuckerberg himself said: “If someone’s going to try to threaten something that existential, you go to the mat+figh…"
165,Alexandria Cortez,“Struggling” 🤣 with what? Math?
166,Alexandria Cortez,"“If another country came in here, blew up our mountains and poisoned our water, we’d go to war.But industry can.”…"
167,Alexandria Cortez,"We stand for the basic human dignity of Kashmiris &amp; support democracy, equality, and human rights for all - includi…"
168,Alexandria Cortez,It’s wild to me how people crawled over my 60 mins interview with a fine-toothed comb to find any word or reason to…
169,Alexandria Cortez,"On October 8th, Aimee Stephens &amp; the @ACLU will bring the first trans civil rights case ever heard by the US Suprem…"
170,Alexandria Cortez,One of the major reasons we don’t talk about debt &amp; poverty is shame.Yet way more Americans are living in poverty…
171,Alexandria Cortez,It’s an honor of a lifetime to join members of Congress who have been taking the hard road &amp; fighting for justice t…
172,Alexandria Cortez,"I truly can think of few things less patriotic, more cowardly, and plainly pathetic + reckless than amplifying call…"
173,Alexandria Cortez,Jackson Heights never fails! We were successful in our Momo hunting last night. I had the Mokthuk at Lhasa Fast Foo…
174,Alexandria Cortez,@JulianCastro That soundtrack tho 🕺🏽🎳 🎶
175,Alexandria Cortez,@DecrimNY 👋🏽
176,Alexandria Cortez,@jdakwar Thanks!
177,Alexandria Cortez,Trump Tower used as a piggy bank was enough.10 incidents of obstruction of justice was enough.Permanently separ…
178,Alexandria Cortez,Shana Tovah to our neighbors and family in NY-14 and across the world! 🍎🍯 Here’s to a happy and sweet new year for all. #RoshHashanah
179,Alexandria Cortez,"Thank you, @JulianCastro!"
180,Alexandria Cortez,"For months &amp; years, these women endured criticism &amp; death threats for telling the truth.Yet they still tried to s…"
181,Alexandria Cortez,"Today I’m showing some love to @RepMaxineWaters + @RashidaTlaib, who endured the brunt of gaslighting &amp; vitriol for…"
182,Alexandria Cortez,@NaureenAkhter 🔥🔥🔥
183,Alexandria Cortez,"To be honest, it should really be @AyannaPressley plus 3 since she is *easily* the best singer out of all of us.I…"
184,Alexandria Cortez,This is beyond partisanship.It is a heartbreaking betrayal of our nation.The President and everyone involved in…
185,Alexandria Cortez,"“If it’s a secret, I’ll vote for it.”For a party that brands itself on being so tough, they sure run around DC li…"
186,Alexandria Cortez,"Not only must Native voices not be ignored, they should be *centered* in a climate agenda.Indigenous wisdom, prin…"
187,Alexandria Cortez,"No matter your politics, the idea of *anyone* (let alone a man!) intimidating Speaker Pelosi is laughable. Congre…"
188,Alexandria Cortez,"NYC taxi drivers were trapped in a predatory lending scheme for taxi medallions.Drivers, many of them immigrants,…"
189,Alexandria Cortez,"I love how McConnell is saying “since you’re impeaching, NOW we’re not going to pass bills.”What does he mean, no…"
190,Alexandria Cortez,Then why did you confess to it?
191,Alexandria Cortez,There is almost no excuse for a member of Congress to have not read the whistleblower report by now.It’s a few pa…
192,Alexandria Cortez,NY’s party registration date has been moved from October to Valentine’s Day!This gives NYers MONTHS more time to…
193,Alexandria Cortez,"Yo, @NRA - you seemed to have had a lot of time yesterday waiting outside my office and making videos about me.Ye…"
194,Alexandria Cortez,The full whistleblower complaint has been declassified for the public.Read it yourself - it’s extremely disturbin…
195,Alexandria Cortez,"Hey @NRA, why don’t you release my full, unedited interview?You know, the one where my first answer to your quest…"
196,Alexandria Cortez,@shannonrwatts @IlhanMN I wish they’d release the tape of the full interview. My first response to them was “Aren’t y’all broke?” 😂
197,Alexandria Cortez,@oldmanebro Thank you!!
198,Alexandria Cortez,A progressive agenda is a winning agenda. 📊✅
199,Alexandria Cortez,@AFROSOCDSA Thank you! 💪🏽🌹
200,Alexandria Cortez,"“It is not responsible to complain about anything we dislike as ‘socialism,’ particularly when many of my colleague…"
201,Alexandria Cortez,Also - what they are calling a “transcript” isn’t even a transcript. It’s a collection of notes. This is what they…
202,Alexandria Cortez,"""I would like you to do us a favor...”Folks, I am surprised the White House even released this transcript. It’s w…"
203,Alexandria Cortez,"Did you know our Fed poverty line is based on 1955 spending, &amp; the way we calculate it hasn’t changed since 1964?…"
204,Alexandria Cortez,Big day!We’re rolling out our next major project: A Just Society.It’s a 6-piece suite:1. Recognizing Poverty…
205,Alexandria Cortez,Eight. Dollars.
206,Alexandria Cortez,"Policy drop tomorrow 📝Because while we must hold this administration accountable in the short term,We also need…"
207,Alexandria Cortez,"When it comes to climate change, we are going to pay no matter what.The question is: will we pay (more) to react…"
208,Alexandria Cortez,This is a huge deal: one of the first major political party adoptions of a #GreenNewDeal as an official policy plan…
209,Alexandria Cortez,"Remember: the work to save our democracy is deeper than the Q of Trump.We must fix the deeply rooted, broken syst…"
210,Alexandria Cortez,"Yes, this is an emergency. We don’t have the luxury of time w/ another committee.Judiciary has been investigating…"
211,Alexandria Cortez,This is what authoritarians do.
212,Alexandria Cortez,"Big thanks to Rep. @JoeNeguse and the local Unitarian ministry who introduced me to Ingrid and her family, and have…"
213,Alexandria Cortez,"Last week, Ingrid Latorre gave birth inside a Colorado church where the local faith community is protecting her.W…"
214,Alexandria Cortez,🎥: produced by our very own @shelbyworks!
215,Alexandria Cortez,Anything less than a solution on the scale of the crisis is a form of climate denial.It’s time for #GenerationGND…
216,Alexandria Cortez,"White supremacy is a fundamentally violent ideology that’s been growing at an alarming rate, fueling one mass shoot…"
217,Alexandria Cortez,"When the public democratically decides to invest in ourselves, in working people, they call it socialism.When a b…"
218,Alexandria Cortez,"“In many ways, the climate crisis is a product, it’s an externality, of our unsustainable way of life, &amp; you don’t…"
219,Alexandria Cortez,@JamesFallows It is one thing for a sitting president to break the law. It’s another to let him.The integrity of…
220,Alexandria Cortez,"At this point, the bigger national scandal isn’t the president’s lawbreaking behavior - it is the Democratic Party’…"
221,Alexandria Cortez,"We are being invited into people’s homes. One woman just showed me her recent blood test, which is sky-high in benz…"
222,Alexandria Cortez,I’m in Colorado w/ @JoeNeguse visiting communities whose air is being poisoned by fracking.What we’re seeing is a…
223,Alexandria Cortez,Boulder brought the house down this morning! Big thanks to all the Coloradoans who joined @JoeNeguse and I for a…
224,Alexandria Cortez,"@mcwm Yes, which is another item being tested for larger rollout soon 😉"
