,Name,Tweet
97,Kamala Harris,"In 2016, Russians targeted Black Americans more than any other group of voters.When Mark Zuckerberg testifies in…"
98,Kamala Harris,This isn’t hard – no.
99,Kamala Harris,Trump wants to intimidate communities of color and immigrant communities from participating in the Census—but we wo…
100,Kamala Harris,We must legalize marijuana the right way. That means correcting failed drug policies that disproportionately hurt p…
101,Kamala Harris,Don't let this fall under the radar: the Supreme Court is considering whether to weaken a bedrock civil rights law…
102,Kamala Harris,We can’t fight the climate crisis without addressing the generations of environmental injustices faced by communiti…
103,Kamala Harris,This Sunday I’m thinking of the wise words of my dear friend Elijah Cummings– we must always fight for our democrac…
104,Kamala Harris,This is extremely troubling. It's incumbent on us all to ensure our Muslim community is never made to stand alone—…
105,Kamala Harris,"This is incredibly important. We must remember that it’s a sign of strength to show emotion. Meghan, we are with…"
106,Kamala Harris,We can't predict when the next deadly earthquake will strike. Californians know that earthquake preparedness is abs…
107,Kamala Harris,Reminder that the Supreme Court will decide the fate of DACA next month. It’s imperative that we protect DREAMers.…
108,Kamala Harris,"This morning, for the first time ever in history, astronauts Christina Koch and Jessica Meir conducted the first ev…"
109,Kamala Harris,There is no question a foreign government interfered in the 2016 election. Senate Republicans have a duty to the Am…
110,Kamala Harris,More wildfires. Stronger hurricanes.Rising sea levels.Flooded rivers.Let’s be clear– climate change…
111,Kamala Harris,We cannot have economic justice in our country while nearly half of American families can’t afford an unexpected $4…
112,Kamala Harris,"Yesterday, Congress passed our bill awarding Congressional Gold Medals to Katherine Johnson, Dorothy Vaughan, Mary…"
113,Kamala Harris,"PrEP medication reduces the risk of contracting HIV by up to 92%, but PrEP is underutilized by the communities who…"
114,Kamala Harris,"Young people who become involved in the criminal justice system deserve a chance to get back on track.Today, I in…"
115,Kamala Harris,"Last week, @SenBlumenthal and I sent a letter to every Trump Cabinet official asking them how they plan to protect…"
116,Kamala Harris,"Today, on the 30th anniversary of the deadly Loma Prieta earthquake, we must recommit ourselves to earthquake prepa…"
117,Kamala Harris,How inspiring to watch young women of color take action to teach themselves and educate their peers about racial li…
118,Kamala Harris,We’re not talking enough about the fact that 25 million children—particularly children of color—breathe polluted ai…
119,Kamala Harris,"The first birth control clinic in the U.S., now known as Planned Parenthood, opened 103 years ago today. Happy Birt…"
120,Kamala Harris,Worth a read from @TheStateHornet: three powerful stories of DACA recipients from Sacramento State University. Th…
121,Kamala Harris,"Simone Biles, Coco Gauff, and Brigid Kosgei— these extraordinary women broke records and made history over the week…"
122,Kamala Harris,"As the legal marijuana industry grows, it’s vital that people of color— who were disproportionately targeted by the…"
123,Kamala Harris,"Californians, spread the word: open enrollment for a health insurance plan through @CoveredCA begins today and runs…"
124,Kamala Harris,"It is imperative we honor our Indigenous communities and recognize the injustices they’ve suffered, often at the ha…"
125,Kamala Harris,We can’t forget what the Senate Intelligence Committee revealed last week: Russian disinformation tactics increased…
126,Kamala Harris,Let’s be clear— everyone has a fundamental right to clean water. And yet communities across the nation don’t have a…
127,Kamala Harris,Women have the right to make their own decisions about their reproductive health – full stop. Proud of California f…
128,Kamala Harris,"Proud of my home state for banning the sale of chlorpyrifos, a pesticide linked to brain damage and other medical i…"
129,Kamala Harris,This is welcome news. The strong arms of America should not exclude people based on income. Because our diversity i…
130,Kamala Harris,Everyone should look through this incredible visual story about the Delano Grape Strike and the tireless efforts of…
131,Kamala Harris,"We’re not talking nearly enough about what climate change will mean for our health. Children, older adults, pregnan…"
132,Kamala Harris,"As the Supreme Court determines the fate of DACA, remember that you can still submit DACA renewal applications, eve…"
133,Kamala Harris,Thankful for the courageous first responders who are working tirelessly to contain the Saddleridge Fire. Follow…
134,Kamala Harris,Earlier this week we recognized Fannie Lou Hamer’s birthday. Take a minute to read about this Civil Rights icon and…
135,Kamala Harris,Great news out of California. It’s time we banned private prisons and privately-run immigration detention facilitie…
136,Kamala Harris,"It’s National Coming Out Day, and no matter where you are in your journey, know that I stand with you and will alwa…"
137,Kamala Harris,I’m thrilled California is leading the way in the fight against the Black maternal health crisis. We must address t…
138,Kamala Harris,There's a lot happening in the news but we cannot overlook the bipartisan Senate Intelligence Committee report on R…
139,Kamala Harris,The Saddleridge fire intensified overnight. Please check @LAFD maps to find out if you are in an evacuation area &amp;…
140,Kamala Harris,This is incredible—UC San Diego alum Jessica Meir will participate in the first all-female spacewalk on October 21.…
141,Kamala Harris,To anyone struggling emotionally or mentally: you are not alone. It's critical that we make mental health services…
142,Kamala Harris,The power shut-offs in California show how our infrastructure is not ready for the new normal in the era of climate…
143,Kamala Harris,"Steven Menashi has been nominated to a lifetime seat on the 2nd Circuit, but he has not answered key questions abou…"
144,Kamala Harris,"If you live in the Bay Area, here’s a helpful website for tracking PG&amp;E’s power shut-offs. None of this is acceptab…"
145,Kamala Harris,"My number one concern is that everyone affected by PG&amp;E's power shutoff is safe, so I encourage residents to heed a…"
146,Kamala Harris,More Californians will now be able to make their voices heard on Election Day. Proud of my home state for getting t…
147,Kamala Harris,We have a lawless administration on our hands. @SenBlumenthal and I just sent a letter to every Trump cabinet offic…
148,Kamala Harris,The hundreds of thousands of people currently living on the streets face serious risk of violence. That's why I’m i…
149,Kamala Harris,This kid is going places.
150,Kamala Harris,"Californians: the “Public Safety Power Shutoff” is expected to begin tonight at midnight, potentially followed by a…"
151,Kamala Harris,Today’s bipartisan Senate Intelligence Committee report on Russia confirms what I talked about back in August 2018:…
152,Kamala Harris,"I think of America as a family—and like any family, we have issues. We have a history of slavery, Jim Crow, and seg…"
153,Kamala Harris,And let’s be frank: it’s time for Trump to stop using Twitter to play into our adversaries’ hands. With every deran…
154,Kamala Harris,"Together with my Republican colleagues, we've now confirmed what I talked about in August 2018: Russians targeted B…"
155,Kamala Harris,There’s more: “No single group of Americans was targeted by IRA operatives more than African-Americans.” They posed…
156,Kamala Harris,Russians' “overwhelming operational emphasis on race” exploited “hot-button” controversies and used social media to…
157,Kamala Harris,Russian voter suppression efforts came in three forms. 1) convincing left-leaning audiences to boycott the electio…
158,Kamala Harris,"America’s Achilles heel is rooted in racism, and this report confirms that Russia exploited deep racial divisions i…"
159,Kamala Harris,"Thread on our bipartisan Senate Intelligence Committee Russia report👇 ""At the direction of the Kremlin,"" Russians…"
160,Kamala Harris,The Supreme Court will soon consider weakening a 150-year-old civil rights law to make it harder for victims of rac…
161,Kamala Harris,Let’s be clear about what is going on here: the White House isn't just pushing to overturn the Affordable Care Act—…
162,Kamala Harris,"Next month, the Supreme Court will hear arguments on Trump's termination of DACA. I joined more than 170 bipartisan…"
163,Kamala Harris,Jessye Norman’s voice was a gift. Her passing last week is a monumental loss to the world. May she rest in peace.
164,Kamala Harris,Brett Kavanaugh was confirmed to the Supreme Court one year ago today—and his seat on the Court remains a national…
165,Kamala Harris,"This isn't up for debate: when immigrants are in U.S. custody, we must treat them with dignity and respect."
166,Kamala Harris,Times have changed. We have to get smart on marijuana reform and give people of color the opportunity to reap the b…
167,Kamala Harris,"My mother was a breast cancer researcher who had two goals in life: to raise her two daughters, and to end breast c…"
168,Kamala Harris,"Yesterday I announced I'm working with @RepMaxineWaters on the Ending Homelessness Act, a bill to commit $13 billio…"
169,Kamala Harris,It’s no accident that this case has landed in the Supreme Court at a time when women’s reproductive rights are rele…
170,Kamala Harris,"Just 10 months after giving birth, @allysonfelix has broken the record for the most gold medals at the track and fi…"
171,Kamala Harris,"Let's be real, Trump doesn't care about the environment. He's poisoning it as we speak. That's why we suspect the E…"
172,Kamala Harris,"It's time we got serious about ending homelessness in America. Earlier today, I announced I'm partnering with…"
173,Kamala Harris,Wonderful news that will make a difference for our LGBTQ+ youth. They deserve to feel seen in all parts of their li…
174,Kamala Harris,This headline is becoming all too familiar under the Trump administration. I'm sick of it. We need answers about wh…
175,Kamala Harris,"The Affordable Care Act has saved lives, period. But rather than working to improve it, Trump and Republicans are c…"
176,Kamala Harris,"It's been 1 year since the horrific, premeditated murder of Washington Post journalist Jamal Khashoggi by Saudi Ara…"
177,Kamala Harris,"Some great news: yesterday, a district court upheld Harvard University’s process for considering race in admissions…"
178,Kamala Harris,Trump is gutting the asylum process in America—something that is at the core of who we are as a country. We can't l…
179,Kamala Harris,"The fact is that if we're going to legalize marijuana at the federal level, then we have to do it right. That means…"
180,Kamala Harris,"Students, take note: the FAFSA application is now open. You don’t need to wait for college acceptances in order to…"
181,Kamala Harris,"This would be a step in the right direction, but more must be done—the American people need answers. That’s why las…"
182,Kamala Harris,"Something we don’t talk about nearly enough: climate change is a global health emergency. Children, older adults, p…"
183,Kamala Harris,"Today marks two years since the deadliest mass shooting in American history, and almost nothing has changed since.…"
184,Kamala Harris,This was just today.
185,Kamala Harris,I agree. Barr needs to come before Congress and testify under oath. Immediately.
186,Kamala Harris,"@bdelossantos1 Congratulations, Brian—this is wonderful news! You and millions of DREAMers across our country belon…"
187,Kamala Harris,Funding that supports HBCUs and other minority-serving institutions is set to expire today because Republican leade…
188,Kamala Harris,"The implications of this report for California are devastating. From rising sea levels to more horrific wildfires,…"
189,Kamala Harris,"L’Shanah Tovah! Wishing a happy, healthy and sweet new year to all celebrating Rosh Hashanah."
190,Kamala Harris,I saw firsthand how Kavanaugh's confirmation process was not a serious pursuit of truth or justice. His seat on the…
191,Kamala Harris,These murals in San Francisco—painted by local climate change activists—are simply stunning. We must heed their cal…
192,Kamala Harris,"Last week, the House passed a bill to give marijuana businesses access to banking. That’s important, but it's not e…"
193,Kamala Harris,This is outrageous. Former ICE Director Homan must apologize to @RepJayapal for his disgraceful behavior.
194,Kamala Harris,"When I see the faces of our young people leading the fight against climate change—like Helena Gualinga, Greta Thunb…"
195,Kamala Harris,"It’s National Public Lands Day, which means you can visit any of our national parks for free. Californians, don’t m…"
196,Kamala Harris,It’s National Gay Men's HIV/AIDS Awareness Day—so let’s talk about PrEP.PrEP medication reduces to risk of HIV by…
197,Kamala Harris,This is a win but we can't overlook the fact that a federal judge had to tell the Trump administration it can’t det…
198,Kamala Harris,It's been one year since Dr. Christine Blasey Ford came before the Senate Judiciary Committee. I believed her then…
199,Kamala Harris,"Yesterday, Republican leaders shot down a bipartisan bill to provide critical funding for HBCUs. Again. They are ro…"
200,Kamala Harris,Justice Brett Kavanaugh's seat on the Supreme Court is a national travesty—but we still have a chance to get it rig…
201,Kamala Harris,Trump is a lawless president. His administration reeks of corruption. It reeks of self-service. It reeks of a presi…
202,Kamala Harris,"If any officials at the State Department worked with Rudy Giuliani to advance Trump's political activities, then we…"
203,Kamala Harris,Earlier today I voted NO on Eugene Scalia's nomination to be the next Labor Secretary. The last person we need in c…
